               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.020165,            0.016528,           0.0031988,             0.95499,             0.98291,             0.97882,             0.77175,            0.023568,            0.018409,           0.0026477,            0.002971,            0.002971,            0.002971
                 144,            0.020507,            0.016534,            0.003393,             0.95754,             0.98696,             0.98022,             0.78658,            0.021032,             0.01774,           0.0026771,           0.0029215,           0.0029215,           0.0029215
                 145,            0.020541,            0.017382,           0.0035001,             0.95802,             0.98291,             0.98193,             0.76966,            0.022976,            0.018339,           0.0024811,            0.002872,            0.002872,            0.002872
                 146,            0.020956,            0.015486,            0.003098,             0.95788,             0.98291,             0.97889,              0.7711,            0.021442,            0.018374,           0.0025133,           0.0028225,           0.0028225,           0.0028225
                 147,            0.020544,            0.016412,           0.0035265,             0.96516,              0.9783,             0.97841,             0.77467,            0.022339,            0.018399,           0.0026915,            0.002773,            0.002773,            0.002773
                 148,            0.019359,            0.015816,           0.0033438,             0.95966,             0.98291,             0.97973,              0.7863,            0.020445,            0.017747,           0.0027035,           0.0027235,           0.0027235,           0.0027235
                 149,            0.019497,            0.016761,           0.0035968,              0.9546,             0.97664,             0.97992,             0.77518,            0.022156,            0.017992,           0.0027361,            0.002674,            0.002674,            0.002674
                 150,            0.019749,            0.016649,           0.0035608,             0.96322,             0.97526,              0.9784,             0.77683,            0.020346,            0.017611,           0.0026901,           0.0026245,           0.0026245,           0.0026245
                 151,            0.019575,            0.016739,           0.0034978,             0.95937,              0.9805,             0.97841,             0.78276,            0.020397,            0.017648,           0.0026501,            0.002575,            0.002575,            0.002575
                 152,            0.018787,            0.015573,           0.0030267,              0.9627,             0.98114,             0.97945,             0.79021,            0.020736,            0.017754,           0.0025392,           0.0025255,           0.0025255,           0.0025255
                 153,            0.020367,            0.015972,           0.0033992,             0.96328,             0.98101,             0.98161,             0.78667,            0.022436,            0.017506,           0.0027248,            0.002476,            0.002476,            0.002476
                 154,            0.020257,            0.015391,           0.0032199,             0.96231,             0.98101,             0.98226,             0.79203,            0.020397,            0.017185,           0.0027899,           0.0024265,           0.0024265,           0.0024265
